编号,类别,处理方式,首次出现,出现次数,中文,English
31,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,夜晚 · 黑眼圈,Late night · Tired eyes
32,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,Agent 思考中,Agent thinking
33,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,思考完成,Done thinking
34,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,目标不清 / 卡住,Unclear goal / Stuck
35,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,补充后理清,Got it after clarification
36,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,任务完成 · 搞定,Task complete · All done
37,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,任务完成 · done,Task complete · Done
38,界面文案,直接替换,desktop/src/animation_lab.gd:33,1,动画衔接测试,Animation transition test
39,界面文案,直接替换,desktop/src/animation_lab.gd:34,1,桌面的 Lulu 实时预览。切换先完成收尾；天气一次点按完整播放；退出挥手只演示。,Live preview of Lulu on your desktop. Animations finish before switching. Click a weather animation once to play it in full. The goodbye wave is a preview only.
40,界面文案,直接替换,desktop/src/animation_lab.gd:39,4,暂停,Pause
41,界面文案,直接替换,desktop/src/animation_lab.gd:39,4,继续,Resume
42,界面文案,直接替换,desktop/src/animation_lab.gd:40,1,前进一帧,Next frame
43,界面文案,直接替换,desktop/src/animation_lab.gd:41,1,点击 / 拖动唤醒,Click / Drag to wake
44,界面文案,直接替换,desktop/src/animation_lab.gd:42,1,吃糖 / 已补充,Have some candy / All topped up
45,界面文案,直接替换,desktop/src/animation_lab.gd:43,1,结束当前动作,End current action
46,界面文案,直接替换,desktop/src/animation_lab.gd:45,1,连续测试全部,Play all in sequence
47,界面文案,直接替换,desktop/src/animation_lab.gd:46,1,重新播放,Replay
48,界面文案,直接替换,desktop/src/animation_lab.gd:47,1,回到正常陪伴,Back to normal
49,界面文案,直接替换,desktop/src/animation_lab.gd:48,1,播放速度,Playback speed
50,界面文案,直接替换,desktop/src/animation_lab.gd:50,1,0.25× 慢放,0.25× Slow
51,界面文案,直接替换,desktop/src/animation_lab.gd:50,1,0.5× 慢放,0.5× Slow
52,界面文案,直接替换,desktop/src/animation_lab.gd:50,1,1× 正常,1× Normal
53,界面文案,直接替换,desktop/src/animation_lab.gd:50,1,2× 快放,2× Fast
54,界面文案,直接替换,desktop/src/animation_lab.gd:52,1,重置帧耗时,Reset frame timing
55,界面文案,直接替换,desktop/src/animation_lab.gd:54,1,桌宠整体大小,Lulu's size
56,界面文案,直接替换,desktop/src/animation_lab.gd:59,1,展开 / 收起正面对比,Show / Hide front-view comparison
57,界面文案,直接替换,desktop/src/animation_lab.gd:60,1,左：正面基准　　右：当前动作（同一显示画布，已应用旧素材缩小）,Left: front-view reference    Right: current action (same canvas; older assets scaled down)
58,界面文案,直接替换,desktop/src/animation_lab.gd:62,1,检查背景,Check background
59,界面文案,直接替换,desktop/src/animation_lab.gd:64,1,纯黑 · 白边检查,Black · Check for white edges
60,界面文案,直接替换,desktop/src/animation_lab.gd:64,1,纯白 · 暗边检查,White · Check for dark edges
61,界面文案,直接替换,desktop/src/animation_lab.gd:64,1,暖米白,Warm cream
62,界面文案,直接替换,desktop/src/animation_lab.gd:75,1,当前片段进度（拖动可逐帧检查）,Current clip (drag to check frame by frame)
63,界面文案,直接替换,desktop/src/animation_lab.gd:81,1,连续测试：进入 → 循环保持 → 收尾 → 站立 → 下一个动作。看书用“结束当前动作”退出；睡觉和赌气也可点击桌宠唤醒。,Test sequence: start → hold loop → finish → stand → next action. Use “End current action” to stop reading. You can also click Lulu to wake Lulu from sleeping or sulking.
64,界面文案,直接替换,desktop/src/bridge_client.gd:13,1,正在等待本机服务启动…,Waiting for the local service to start…
65,界面文案,直接替换,desktop/src/bridge_client.gd:22,1,连接暂时不可用，正在重连…,Connection unavailable. Reconnecting…
66,界面文案,直接替换,desktop/src/bridge_client.gd:26,1,本机服务连接中断，正在重连…,Lost connection to the local service. Reconnecting…
67,界面文案,直接替换,desktop/src/bridge_client.gd:29,1,服务未返回有效数据,The service didn't return valid data
68,界面文案,直接替换,desktop/src/bridge_client.gd:30,1,操作未完成，请重试。,That didn't finish. Please try again.
69,界面文案,直接替换,desktop/src/pet.gd:1001,3,已保存：,Saved: 
70,界面文案,直接替换,desktop/src/pet.gd:1001,2,。粘贴新密钥可替换。,. Paste a new key to replace it.
71,界面文案,直接替换,desktop/src/pet.gd:1017,1,已开启深度思考。总结、写文档、翻译和聊天会多想一会儿，回答也会慢一些。,"Deep thinking is on. I'll take more time with summaries, documents, translations, and chats, so replies may be slower."
72,界面文案,直接替换,desktop/src/pet.gd:1017,1,已关闭深度思考，直接回答。,Deep thinking is off. I'll answer right away.
73,界面文案,直接替换,desktop/src/pet.gd:1031,1,正在切换服务…,Switching services…
74,界面文案,直接替换,desktop/src/pet.gd:1035,1,已切换到,Switched to 
75,界面文案,直接替换,desktop/src/pet.gd:1036,1,设置已应用。,Settings applied.
76,界面文案,直接替换,desktop/src/pet.gd:1036,1,\n⚠ 请注意：,\n⚠ Please note:
77,界面文案,直接替换,desktop/src/pet.gd:1041,1,先粘贴密钥。,Paste a key first.
78,界面文案,直接替换,desktop/src/pet.gd:1044,1,密钥已保存在本机。,Key saved on this Mac.
79,界面文案,直接替换,desktop/src/pet.gd:1048,1,先选博查、Tavily 或 Brave，再保存对应的密钥。,"Choose Bocha, Tavily, or Brave first, then save the matching key."
80,界面文案,直接替换,desktop/src/pet.gd:1054,1,正在检查四种连接方式，可能需要几秒钟…,Checking all four connection options. This may take a few seconds…
81,界面文案,直接替换,desktop/src/pet.gd:1061,1,正在测试回答…,Testing a reply…
82,界面文案,直接替换,desktop/src/pet.gd:1061,1,深度思考已开启，可能需要多等一会儿。,Deep thinking is on. This may take a little longer.
83,界面文案,直接替换,desktop/src/pet.gd:1064,1,✓ 已收到回答,✓ Reply received
84,界面文案,直接替换,desktop/src/pet.gd:1064,1,✗ 测试失败,✗ Test failed
85,界面文案,直接替换,desktop/src/pet.gd:1064,1,· 用时,· Time: 
86,界面文案,直接替换,desktop/src/pet.gd:1064,2,秒, seconds
87,界面文案,直接替换,desktop/src/pet.gd:1065,1,· 思考内容,· Thinking: 
88,界面文案,直接替换,desktop/src/pet.gd:1065,1,字（已隐藏）, characters (hidden)
89,界面文案,直接替换,desktop/src/pet.gd:1078,2,选文件…,Choose files…
90,界面文案,直接替换,desktop/src/pet.gd:1102,1,表里放什么,Table columns
91,界面文案,直接替换,desktop/src/pet.gd:1103,1,用顿号隔开，例如 姓名、电话、金额,"Separate with commas, e.g. Name, Phone, Amount"
92,界面文案,直接替换,desktop/src/pet.gd:1104,1,常用列…,Common columns…
93,界面文案,直接替换,desktop/src/pet.gd:1105,2,姓名,Name
94,界面文案,直接替换,desktop/src/pet.gd:1105,2,电话,Phone
95,界面文案,直接替换,desktop/src/pet.gd:1105,2,邮箱,Email
96,界面文案,直接替换,desktop/src/pet.gd:1105,2,日期,Date
97,界面文案,直接替换,desktop/src/pet.gd:1105,2,金额,Amount
98,界面文案,直接替换,desktop/src/pet.gd:1105,2,负责人,Person in charge
99,界面文案,直接替换,desktop/src/pet.gd:1105,2,公司,Company
100,界面文案,直接替换,desktop/src/pet.gd:1105,2,地址,Address
101,界面文案,直接替换,desktop/src/pet.gd:1135,2,选文件,Choose files
102,界面文案,直接替换,desktop/src/pet.gd:1139,1,点选要用的文件，可以多选。,Choose the files you want to use. You can select more than one.
103,界面文案,直接替换,desktop/src/pet.gd:1143,1,就用这些,Use these files
104,界面文案,直接替换,desktop/src/pet.gd:1143,1,取消,Cancel
105,界面文案,直接替换,desktop/src/pet.gd:1149,1,刚生成的文件 ·,Just created · 
106,界面文案,直接替换,desktop/src/pet.gd:1152,1,这里还没有文件，先点“添加文件…”,No files here yet. Click “Add files…” to get started.
107,界面文案,直接替换,desktop/src/pet.gd:1168,1,已选：,Selected: 
108,界面文案,直接替换,desktop/src/pet.gd:142,2,翻译,Translate
109,界面文案,直接替换,desktop/src/pet.gd:142,1,贴上要翻译的文字，或选一个文件,"Paste some text to translate, or choose a file"
110,界面文案,直接替换,desktop/src/pet.gd:143,3,总结,Summarize
111,界面文案,直接替换,desktop/src/pet.gd:143,1,贴上内容，或选一个文件，我帮你整理要点,"Paste some text or choose a file, and I'll pull out the key points"
112,界面文案,直接替换,desktop/src/pet.gd:144,2,改写润色,Rewrite
113,界面文案,直接替换,desktop/src/pet.gd:144,1,贴上原文，说说想怎么改,Paste your text and tell me what you'd like to change
114,界面文案,直接替换,desktop/src/pet.gd:145,2,问文件,Ask about a file
115,界面文案,直接替换,desktop/src/pet.gd:145,1,选好文件，再说说你想知道什么,"Choose a file, then tell me what you'd like to know"
116,界面文案,直接替换,desktop/src/pet.gd:146,2,提取成表,Make a table
117,界面文案,直接替换,desktop/src/pet.gd:146,1,选文件或贴上内容，告诉我表里要放哪些信息,"Choose a file or paste some text, then tell me what to put in the table"
118,界面文案,直接替换,desktop/src/pet.gd:147,2,按要点写,Write from notes
119,界面文案,直接替换,desktop/src/pet.gd:147,1,把要点发给我，我帮你写成一篇,"Send me your key points, and I'll turn them into a draft"
120,界面文案,直接替换,desktop/src/pet.gd:148,2,转格式,Convert
121,界面文案,直接替换,desktop/src/pet.gd:148,1,选好文件，再选要转成的格式,"Choose a file, then pick the format you want"
122,界面文案,直接替换,desktop/src/pet.gd:149,2,记一下,Remember this
123,界面文案,直接替换,desktop/src/pet.gd:149,1,有什么要记的，直接告诉我,Tell me what you'd like me to remember
124,界面文案,直接替换,desktop/src/pet.gd:150,5,提醒,Remind me
125,界面文案,直接替换,desktop/src/pet.gd:150,1,比如：明天早上8点提醒我开会,Try: Remind me about my meeting tomorrow at 8 AM
126,界面文案,直接替换,desktop/src/pet.gd:151,2,查一下,Look it up
127,界面文案,直接替换,desktop/src/pet.gd:151,1,告诉我想查什么，再选去哪里找,"Tell me what to look up, then choose where to search"
128,界面文案,直接替换,desktop/src/pet.gd:152,3,聊聊天,Chat
129,界面文案,直接替换,desktop/src/pet.gd:152,1,今天怎么样？随便聊聊吧,How's your day going? Let's chat
130,界面文案,直接替换,desktop/src/pet.gd:155,1,翻成,Translate to
131,界面文案,直接替换,desktop/src/pet.gd:155,4,自动判断,Auto-detect
132,界面文案,直接替换,desktop/src/pet.gd:155,8,英文,English
133,界面文案,直接替换,desktop/src/pet.gd:155,9,中文,Chinese
134,界面文案,直接替换,desktop/src/pet.gd:155,6,日文,Japanese
135,界面文案,直接替换,desktop/src/pet.gd:155,6,韩文,Korean
136,界面文案,直接替换,desktop/src/pet.gd:155,6,法语,French
137,界面文案,直接替换,desktop/src/pet.gd:155,5,德语,German
138,界面文案,直接替换,desktop/src/pet.gd:155,4,西班牙语,Spanish
139,界面文案,直接替换,desktop/src/pet.gd:155,4,俄语,Russian
140,界面文案,直接替换,desktop/src/pet.gd:156,1,长度,Length
141,界面文案,直接替换,desktop/src/pet.gd:156,3,几条要点,A few key points
142,界面文案,直接替换,desktop/src/pet.gd:156,3,一句话,One sentence
143,界面文案,直接替换,desktop/src/pet.gd:156,3,一段话,One paragraph
144,界面文案,直接替换,desktop/src/pet.gd:157,1,怎么改,Make it
145,界面文案,直接替换,desktop/src/pet.gd:157,5,更自然,More natural
146,界面文案,直接替换,desktop/src/pet.gd:157,4,更正式,More formal
147,界面文案,直接替换,desktop/src/pet.gd:157,4,更客气,More polite
148,界面文案,直接替换,desktop/src/pet.gd:157,4,更简短,Shorter
149,界面文案,直接替换,desktop/src/pet.gd:157,4,更详细,More detailed
150,界面文案,直接替换,desktop/src/pet.gd:157,4,删掉多余的话,Cut the extra words
151,界面文案,直接替换,desktop/src/pet.gd:157,4,整理成要点,Turn into bullet points
152,界面文案,直接替换,desktop/src/pet.gd:157,4,连成段落,Turn into paragraphs
153,界面文案,直接替换,desktop/src/pet.gd:157,5,只改错别字和标点,Fix spelling and punctuation only
154,界面文案,直接替换,desktop/src/pet.gd:158,1,写什么,Write
155,界面文案,直接替换,desktop/src/pet.gd:158,3,邮件,Email
156,界面文案,直接替换,desktop/src/pet.gd:158,3,通知,Notice
157,界面文案,直接替换,desktop/src/pet.gd:158,3,周报,Weekly report
158,界面文案,直接替换,desktop/src/pet.gd:158,3,会议纪要,Meeting notes
159,界面文案,直接替换,desktop/src/pet.gd:158,3,说明,Explanation
160,界面文案,直接替换,desktop/src/pet.gd:158,4,计划,Plan
161,界面文案,直接替换,desktop/src/pet.gd:158,4,清单,Checklist
162,界面文案,直接替换,desktop/src/pet.gd:159,2,结果,Output
163,界面文案,直接替换,desktop/src/pet.gd:159,4,直接显示,Show here
164,界面文案,直接替换,desktop/src/pet.gd:161,1,转成,Convert to
165,界面文案,直接替换,desktop/src/pet.gd:161,4,纯文本,Plain text
166,界面文案,直接替换,desktop/src/pet.gd:162,1,去哪里找,Search in
167,界面文案,直接替换,desktop/src/pet.gd:162,3,都查,Everywhere
168,界面文案,直接替换,desktop/src/pet.gd:162,3,本地文件,Local files
169,界面文案,直接替换,desktop/src/pet.gd:162,3,网上,The web
170,界面文案,直接替换,desktop/src/pet.gd:163,1,记到,Save to
171,界面文案,直接替换,desktop/src/pet.gd:163,2,今天的笔记,Today's notes
172,界面文案,直接替换,desktop/src/pet.gd:163,5,长期记忆,Long-term memory
173,界面文案,直接替换,desktop/src/pet.gd:166,1,标准,Standard
174,界面文案,直接替换,desktop/src/pet.gd:166,1,大,Large
175,界面文案,直接替换,desktop/src/pet.gd:166,1,特大,Extra large
176,界面文案,直接替换,desktop/src/pet.gd:167,1,想做什么，直接告诉我。也可以先选上面的标签。,"Tell me what you'd like to do, or pick a tab above to get started."
177,界面文案,直接替换,desktop/src/pet.gd:169,1,本地模型（Ollama）,Local model (Ollama)
178,界面文案,直接替换,desktop/src/pet.gd:169,1,API 接口（使用自己的密钥）,API (use your own key)
179,界面文案,直接替换,desktop/src/pet.gd:169,1,Claude 命令行（claude -p）,Claude command line (claude -p)
180,界面文案,直接替换,desktop/src/pet.gd:169,1,其他命令行（如 codex exec）,Other command line (e.g. codex exec)
181,界面文案,直接替换,desktop/src/pet.gd:171,1,自动选择（按内存）,Auto-select (based on memory)
182,界面文案,直接替换,desktop/src/pet.gd:171,1,4B · 双模型（8GB 内存档）,4B · Two models (8 GB RAM)
183,界面文案,直接替换,desktop/src/pet.gd:171,1,8B · 混合模型（16GB 内存起）,8B · Hybrid model (16 GB RAM or more)
184,界面文案,直接替换,desktop/src/pet.gd:171,1,自定义（编辑 config.json）,Custom (edit config.json)
185,界面文案,直接替换,desktop/src/pet.gd:173,2,通义千问（阿里云百炼）,"Qwen (Alibaba Cloud Model Studio, China)"
186,界面文案,直接替换,desktop/src/pet.gd:173,2,通义千问（国际站）,Qwen (International)
187,界面文案,直接替换,desktop/src/pet.gd:173,2,LM Studio（本机）,LM Studio (local)
188,界面文案,直接替换,desktop/src/pet.gd:173,1,自定义地址,Custom URL
189,界面文案,直接替换,desktop/src/pet.gd:175,1,自动选择（优先使用已保存的密钥）,Auto-select (use saved keys first)
190,界面文案,直接替换,desktop/src/pet.gd:175,2,博查（国内）,Bocha (China)
191,界面文案,直接替换,desktop/src/pet.gd:175,1,不用密钥（可能不稳定）,No key needed (may be unreliable)
192,界面文案,直接替换,desktop/src/pet.gd:175,1,关闭联网搜索,Turn off web search
193,界面文案,直接替换,desktop/src/pet.gd:201,3,陪伴,Keep me company
194,界面文案,直接替换,desktop/src/pet.gd:204,1,动作,Actions
195,界面文案,直接替换,desktop/src/pet.gd:205,1,退出,Quit
196,界面文案,直接替换,desktop/src/pet.gd:275,2,Lulu · 你的工作伙伴,Lulu · Your work buddy
197,界面文案,直接替换,desktop/src/pet.gd:287,1,今天也陪着你,"Here with you today, too"
198,界面文案,直接替换,desktop/src/pet.gd:290,5,对话,Chat
199,界面文案,直接替换,desktop/src/pet.gd:290,4,文件,Files
200,界面文案,直接替换,desktop/src/pet.gd:290,4,记忆,Memory
201,界面文案,直接替换,desktop/src/pet.gd:290,3,设置,Settings
202,界面文案,直接替换,desktop/src/pet.gd:297,1,正在连接…,Connecting…
203,界面文案,直接替换,desktop/src/pet.gd:298,1,记忆留在这台电脑,Memories stay on this Mac
204,界面文案,直接替换,desktop/src/pet.gd:303,1,正在连接本机服务…,Connecting to the local service…
205,界面文案,直接替换,desktop/src/pet.gd:312,3,新对话,New chat
206,界面文案,直接替换,desktop/src/pet.gd:313,1,没做完的,Unfinished tasks
207,界面文案,直接替换,desktop/src/pet.gd:314,2,执行记录,Activity log
208,界面文案,直接替换,desktop/src/pet.gd:318,1,嗨，我是 Lulu。可以帮你处理文件、整理文字、记事和设提醒。\n\n试着说：\n· 总结一下纪要.docx\n· 把报告.md转成PDF\n· 按这些要点写封邮件：……\n· 明天早上8点提醒我开会\n\n也可以先点输入框上面的标签，再打字。,"Hi, I'm Lulu. I can help with files, writing, notes, and reminders.\n\nTry saying:\n· Summarize minutes.docx\n· Convert report.md to PDF\n· Write an email from these notes: …\n· Remind me about my meeting tomorrow at 8 AM\n\nYou can also pick a tab above the message box before typing."
209,界面文案,直接替换,desktop/src/pet.gd:323,1,输入,Message
210,界面文案,直接替换,desktop/src/pet.gd:326,2,输入你想做的事，或和 Lulu 聊聊…,"Tell me what you'd like to do, or just chat with Lulu…"
211,界面文案,直接替换,desktop/src/pet.gd:330,1,发给 Lulu →,Send to Lulu →
212,界面文案,直接替换,desktop/src/pet.gd:330,1,停止,Stop
213,界面文案,直接替换,desktop/src/pet.gd:331,1,Ctrl / ⌘ + Enter 发送,Ctrl / ⌘ + Enter to send
214,界面文案,直接替换,desktop/src/pet.gd:334,1,把要用的文件添加到这里。单击选中（可多选），双击打开；选好后点“用它来对话”。,"Add the files you want to use here. Click to select (you can select more than one), or double-click to open. Then click “Use in chat”."
215,界面文案,直接替换,desktop/src/pet.gd:337,2,添加文件…,Add files…
216,界面文案,直接替换,desktop/src/pet.gd:337,1,打开,Open
217,界面文案,直接替换,desktop/src/pet.gd:337,1,用它来对话,Use in chat
218,界面文案,直接替换,desktop/src/pet.gd:338,1,打开文件夹,Open folder
219,界面文案,直接替换,desktop/src/pet.gd:341,1,已记住的内容，聊天时会参考。选一条可以改或删。,Things I'll remember and refer to in our chats. Select an item to edit or delete it.
220,界面文案,直接替换,desktop/src/pet.gd:344,1,名称，例如：回答风格,"Name, e.g. Reply style"
221,界面文案,直接替换,desktop/src/pet.gd:345,1,要长期记住的偏好或事实,A preference or fact to remember for later
222,界面文案,直接替换,desktop/src/pet.gd:347,1,保存 / 修改,Save / Update
223,界面文案,直接替换,desktop/src/pet.gd:347,1,删除所选,Delete selected
224,界面文案,直接替换,desktop/src/pet.gd:348,2,要记住这些吗？点“记住”后才会保存。,Should I remember these? They'll only be saved when you click “Remember”.
225,界面文案,直接替换,desktop/src/pet.gd:350,1,记住,Remember
226,界面文案,直接替换,desktop/src/pet.gd:350,1,忽略,Skip
227,界面文案,直接替换,desktop/src/pet.gd:353,1,告诉我时间和事情就行，比如“明天早上8点提醒我开会”或“每天9点提醒我喝水”。,Just tell me when and what. Try “Remind me about my meeting tomorrow at 8 AM” or “Remind me to drink water every day at 9 AM”.
228,界面文案,直接替换,desktop/src/pet.gd:355,1,明天下午三点提醒我交周报,Remind me to submit my weekly report tomorrow at 3 PM
229,界面文案,直接替换,desktop/src/pet.gd:356,1,设提醒,Set reminder
230,界面文案,直接替换,desktop/src/pet.gd:359,1,标为完成 / 取消所选,Mark done / Cancel selected
231,界面文案,直接替换,desktop/src/pet.gd:363,1,界面、模型、联网搜索和陪伴。,"Appearance, models, web search, and companionship."
232,界面文案,直接替换,desktop/src/pet.gd:365,1,界面大小,Interface size
233,界面文案,直接替换,desktop/src/pet.gd:370,1,字太小就调大一档，窗口里的字和按钮一起放大。,Text too small? Go up a size to make text and buttons bigger.
234,界面文案,直接替换,desktop/src/pet.gd:375,1,Lulu 会按网络位置自动找你所在的城市看天气，每 30 分钟更新一次；不准的话在这里选一个城市。,"Lulu uses your network location to find your city and check the weather every 30 minutes. If the location is wrong, choose a city here."
235,界面文案,直接替换,desktop/src/pet.gd:377,1,城市，例如 Shanghai,"City, e.g. Shanghai"
236,界面文案,直接替换,desktop/src/pet.gd:378,1,查找城市,Find city
237,界面文案,直接替换,desktop/src/pet.gd:381,1,打开动画控制面板,Open animation controls
238,界面文案,直接替换,desktop/src/pet.gd:384,1,添加到 Lulu 的文件,Files to add to Lulu
239,界面文案,直接替换,desktop/src/pet.gd:385,1,"*.txt,*.md,*.pdf,*.docx,*.xlsx,*.csv,*.tsv,*.json,*.html,*.log ; 工作文件","*.txt,*.md,*.pdf,*.docx,*.xlsx,*.csv,*.tsv,*.json,*.html,*.log ; Work files"
240,界面文案,直接替换,desktop/src/pet.gd:403,1,Lulu · 没做完的事,Lulu · Unfinished tasks
241,界面文案,直接替换,desktop/src/pet.gd:406,1,任务,Tasks
242,界面文案,直接替换,desktop/src/pet.gd:407,1,等你补充或没做完的任务。选中一项，可以继续、补充信息，或看执行记录。,"Tasks that need more information or aren't finished yet. Select one to resume, add details, or view its activity log."
243,界面文案,直接替换,desktop/src/pet.gd:410,1,补充信息,Add details
244,界面文案,直接替换,desktop/src/pet.gd:410,1,看结果,View result
245,界面文案,直接替换,desktop/src/pet.gd:425,1,你,You
246,界面文案,直接替换,desktop/src/pet.gd:441,1,Lulu 提醒你,A reminder from Lulu
247,界面文案,直接替换,desktop/src/pet.gd:445,1,知道了,Got it
248,界面文案,直接替换,desktop/src/pet.gd:452,1,先说点什么，或者选一个文件。,Type a message or choose a file first.
249,界面文案,直接替换,desktop/src/pet.gd:472,1,正在停止，先完成手头的文件操作…,Stopping after the current file operation finishes…
250,界面文案,直接替换,desktop/src/pet.gd:477,1,正在查找城市…,Finding cities…
251,界面文案,直接替换,desktop/src/pet.gd:480,1,请选择城市,Choose a city
252,界面文案,直接替换,desktop/src/pet.gd:482,1,请选择搜索结果,Choose a search result
253,界面文案,直接替换,desktop/src/pet.gd:482,1,未找到城市，请换用英文名称,City not found. Try its English name.
254,界面文案,直接替换,desktop/src/pet.gd:486,1,城市已保存，正在更新…,City saved. Updating…
255,界面文案,直接替换,desktop/src/pet.gd:505,2,等待中,Waiting
256,界面文案,直接替换,desktop/src/pet.gd:505,2,处理中,Working
257,界面文案,直接替换,desktop/src/pet.gd:505,2,已完成,Done
258,界面文案,直接替换,desktop/src/pet.gd:505,2,失败,Failed
259,界面文案,直接替换,desktop/src/pet.gd:505,2,等你补充,Needs your input
260,界面文案,直接替换,desktop/src/pet.gd:505,2,已继续,Resumed
261,界面文案,直接替换,desktop/src/pet.gd:505,2,未完成，可继续,Unfinished · Can resume
262,界面文案,直接替换,desktop/src/pet.gd:505,2,已中断，可继续,Interrupted · Can resume
263,界面文案,直接替换,desktop/src/pet.gd:505,2,已停止,Stopped
264,界面文案,直接替换,desktop/src/pet.gd:521,1,正在仔细想，可能需要一两分钟 · 已用,Thinking it through. This may take a minute or two · Elapsed: 
265,界面文案,直接替换,desktop/src/pet.gd:521,1,秒 · 可随时停止, seconds · Stop anytime
266,界面文案,直接替换,desktop/src/pet.gd:522,1,正在处理 · 已用,Working · Elapsed: 
267,界面文案,直接替换,desktop/src/pet.gd:522,1,秒 ·, seconds · 
268,界面文案,直接替换,desktop/src/pet.gd:522,1,· 可随时停止,· Stop anytime
269,界面文案,直接替换,desktop/src/pet.gd:530,1,没做完的（,Unfinished tasks (
270,界面文案,直接替换,desktop/src/pet.gd:537,1,到时间了 ·,Due now · 
271,界面文案,直接替换,desktop/src/pet.gd:537,1,待提醒 ·,Upcoming · 
272,界面文案,直接替换,desktop/src/pet.gd:540,1,有,You have 
273,界面文案,直接替换,desktop/src/pet.gd:540,1,条提醒到时间了, reminders due
274,界面文案,直接替换,desktop/src/pet.gd:540,1,条提醒, reminders
275,界面文案,直接替换,desktop/src/pet.gd:546,1,天气未就绪,Weather not ready
276,界面文案,直接替换,desktop/src/pet.gd:546,1,未知,Unknown
277,界面文案,直接替换,desktop/src/pet.gd:553,1,到时间啦：,It's time: 
278,界面文案,直接替换,desktop/src/pet.gd:605,1,我在，随时叫我,I'm here if you need me
279,界面文案,直接替换,desktop/src/pet.gd:606,1,缺少动画资源包，请重新运行安装脚本,Animation pack missing. Please run the installer again.
280,界面文案,直接替换,desktop/src/pet.gd:607,1,安静陪你看书,I'll quietly read with you
281,界面文案,直接替换,desktop/src/pet.gd:608,1,点点我，或拖一下叫醒我～,Give me a tap or a little drag to wake me up
282,界面文案,直接替换,desktop/src/pet.gd:609,1,等一下，我收拾好就来～,"One sec, let me put this away"
283,界面文案,直接替换,desktop/src/pet.gd:610,1,下次见～,See you next time!
284,界面文案,直接替换,desktop/src/pet.gd:611,1,好，提醒记下啦！,Got it! Reminder set.
